TIMESTAMP [s],PPG1_SUB1,PPG1_SUB2,PPG1_SUB3,PPG1_SUB4,PPG1_SUB5,PPG1_SUB6,PPG1_SUB7,PPG1_SUB8,PPG2_SUB1,PPG2_SUB2,PPG2_SUB3,PPG2_SUB4,PPG2_SUB5,PPG2_SUB6,PPG2_SUB7,PPG2_SUB8,ECG_SEQ1_SUB1,ECG_SEQ1_SUB2,ECG_SEQ2_SUB1
0.99,25,-11,-11,,,,,,,,,,,,,,,,
1.0,27,-13,-12,,,,,,,,,,,,,,,,
1.01,29,-14,-14,,,,,,,,,,,,,,,,
1.02,31,-16,-15,,,,,,,,,,,,,,,,
1.03,33,-17,-17,,,,,,,,,,,,,,,,
1.04,34,-19,-18,,,,,,,,,,,,,,,,
1.05,34,-21,-20,,,,,,,,,,,,,,,,
1.06,31,-23,-22,,,,,,,,,,,,,,,,
1.07,31,-24,-23,,,,,,,,,,,,,,,,
1.08,28,-26,-25,,,,,,,,,,,,,,,,
1.09,26,-28,-26,,,,,,,,,,,,,,,,
1.1,24,-29,-28,,,,,,,,,,,,,,,,
1.11,21,-30,-29,,,,,,,,,,,,,,,,
1.12,18,-32,-31,,,,,,,,,,,,,,,,
1.13,15,-33,-32,,,,,,,,,,,,,,,,
1.14,12,-34,-33,,,,,,,,,,,,,,,,
1.15,9,-35,-34,,,,,,,,,,,,,,,,
1.16,6,-35,-35,,,,,,,,,,,,,,,,
1.17,2,-36,-35,,,,,,,,,,,,,,,,
1.18,-2,-36,-35,,,,,,,,,,,,,,,,
1.19,-7,-35,-35,,,,,,,,,,,,,,,,
1.2,-9,-35,-35,,,,,,,,,,,,,,,,
1.21,-12,-34,-35,,,,,,,,,,,,,,,,
1.22,-13,-33,-34,,,,,,,,,,,,,,,,
1.23,-14,-32,-33,,,,,,,,,,,,,,,,
1.24,-17,-30,-32,,,,,,,,,,,,,,,,
1.25,-17,-28,-31,,,,,,,,,,,,,,,,
1.26,-18,-26,-29,,,,,,,,,,,,,,,,
1.27,-19,-23,-27,,,,,,,,,,,,,,,,
1.28,-20,-20,-25,,,,,,,,,,,,,,,,
1.29,-22,-17,-23,,,,,,,,,,,,,,,,
1.3,-22,-13,-20,,,,,,,,,,,,,,,,
1.31,-24,-9,-17,,,,,,,,,,,,,,,,
1.32,-23,-5,-13,,,,,,,,,,,,,,,,
1.33,-23,0,-10,,,,,,,,,,,,,,,,
1.34,-22,4,-6,,,,,,,,,,,,,,,,
1.35,-22,10,-2,,,,,,,,,,,,,,,,
1.36,-24,16,2,,,,,,,,,,,,,,,,
1.37,-25,22,6,,,,,,,,,,,,,,,,
1.38,-27,28,11,,,,,,,,,,,,,,,,
1.39,-30,35,16,,,,,,,,,,,,,,,,
1.4,-32,42,21,,,,,,,,,,,,,,,,
1.41,-36,49,27,,,,,,,,,,,,,,,,
1.42,-37,57,32,,,,,,,,,,,,,,,,
1.43,-39,65,38,,,,,,,,,,,,,,,,
1.44,-42,73,44,,,,,,,,,,,,,,,,
1.45,-45,81,50,,,,,,,,,,,,,,,,
1.46,-47,90,56,,,,,,,,,,,,,,,,
1.47,-48,98,62,,,,,,,,,,,,,,,,
1.48,-52,107,69,,,,,,,,,,,,,,,,
1.49,-56,116,75,,,,,,,,,,,,,,,,
1.5,-58,125,81,,,,,,,,,,,,,,,,
1.51,-59,135,88,,,,,,,,,,,,,,,,
1.52,-60,148,97,,,,,,,,,,,,,,,,
1.53,-58,160,107,,,,,,,,,,,,,,,,
1.54,-58,168,115,,,,,,,,,,,,,,,,
1.55,-57,177,119,,,,,,,,,,,,,,,,
1.56,-58,179,119,,,,,,,,,,,,,,,,
1.57,-57,185,117,,,,,,,,,,,,,,,,
1.58,-55,190,119,,,,,,,,,,,,,,,,
1.59,-55,197,120,,,,,,,,,,,,,,,,
1.6,-53,201,120,,,,,,,,,,,,,,,,
1.61,-54,209,126,,,,,,,,,,,,,,,,
1.62,-52,220,137,,,,,,,,,,,,,,,,
1.63,-49,239,157,,,,,,,,,,,,,,,,
1.64,-48,265,183,,,,,,,,,,,,,,,,
1.65,-46,304,218,,,,,,,,,,,,,,,,
1.66,-45,349,261,,,,,,,,,,,,,,,,
1.67,-45,404,310,,,,,,,,,,,,,,,,
1.68,-42,463,364,,,,,,,,,,,,,,,,
1.69,-41,522,419,,,,,,,,,,,,,,,,
1.7,-38,585,480,,,,,,,,,,,,,,,,
1.71,-37,649,542,,,,,,,,,,,,,,,,
1.72,-32,722,607,,,,,,,,,,,,,,,,
1.73,-29,800,673,,,,,,,,,,,,,,,,
1.74,-28,877,737,,,,,,,,,,,,,,,,
1.75,-26,953,799,,,,,,,,,,,,,,,,
1.76,-23,1026,856,,,,,,,,,,,,,,,,
1.77,-23,1093,906,,,,,,,,,,,,,,,,
1.78,-23,1158,953,,,,,,,,,,,,,,,,
1.79,-23,1216,991,,,,,,,,,,,,,,,,
1.8,-24,1272,1028,,,,,,,,,,,,,,,,
1.81,-26,1336,1070,,,,,,,,,,,,,,,,
1.82,-26,1414,1131,,,,,,,,,,,,,,,,
1.83,-23,1497,1203,,,,,,,,,,,,,,,,
1.84,-21,1573,1277,,,,,,,,,,,,,,,,
1.85,-20,1633,1337,,,,,,,,,,,,,,,,
1.86,-18,1657,1370,,,,,,,,,,,,,,,,
1.87,-15,1647,1366,,,,,,,,,,,,,,,,
1.88,-13,1582,1318,,,,,,,,,,,,,,,,
1.89,-10,1456,1209,,,,,,,,,,,,,,,,
1.9,-7,1260,1041,,,,,,,,,,,,,,,,
1.91,-1,1000,813,,,,,,,,,,,,,,,,
1.92,3,683,530,,,,,,,,,,,,,,,,
1.93,8,315,199,,,,,,,,,,,,,,,,
1.94,11,-85,-169,,,,,,,,,,,,,,,,
1.95,14,-502,-555,,,,,,,,,,,,,,,,
1.96,17,-925,-949,,,,,,,,,,,,,,,,
1.97,20,-1331,-1333,,,,,,,,,,,,,,,,
1.98,25,-1715,-1694,,,,,,,,,,,,,,,,
1.99,27,-2059,-2015,,,,,,,,,,,,,,,,
2.0,29,-2341,-2279,,,,,,,,,,,,,,,,
2.01,28,-2550,-2476,,,,,,,,,,,,,,,,
2.02,30,-2672,-2591,,,,,,,,,,,,,,,,
2.03,31,-2712,-2626,,,,,,,,,,,,,,,,
2.04,32,-2675,-2586,,,,,,,,,,,,,,,,
2.05,32,-2573,-2478,,,,,,,,,,,,,,,,
2.06,32,-2418,-2315,,,,,,,,,,,,,,,,
2.07,32,-2230,-2116,,,,,,,,,,,,,,,,
2.08,34,-2023,-1898,,,,,,,,,,,,,,,,
2.09,36,-1818,-1679,,,,,,,,,,,,,,,,
2.1,36,-1618,-1470,,,,,,,,,,,,,,,,
2.11,35,-1428,-1274,,,,,,,,,,,,,,,,
2.12,35,-1250,-1089,,,,,,,,,,,,,,,,
2.13,35,-1091,-921,,,,,,,,,,,,,,,,
2.14,36,-954,-773,,,,,,,,,,,,,,,,
2.15,36,-839,-649,,,,,,,,,,,,,,,,
2.16,39,-742,-544,,,,,,,,,,,,,,,,
2.17,40,-662,-457,,,,,,,,,,,,,,,,
2.18,39,-599,-392,,,,,,,,,,,,,,,,
2.19,39,-549,-342,,,,,,,,,,,,,,,,
2.2,38,-507,-298,,,,,,,,,,,,,,,,
2.21,40,-464,-260,,,,,,,,,,,,,,,,
2.22,39,-414,-220,,,,,,,,,,,,,,,,
2.23,37,-362,-175,,,,,,,,,,,,,,,,
2.24,35,-301,-121,,,,,,,,,,,,,,,,
2.25,31,-225,-55,,,,,,,,,,,,,,,,
2.26,29,-137,21,,,,,,,,,,,,,,,,
2.27,28,-38,112,,,,,,,,,,,,,,,,
2.28,26,69,212,,,,,,,,,,,,,,,,
2.29,25,189,321,,,,,,,,,,,,,,,,
2.3,24,318,434,,,,,,,,,,,,,,,,
2.31,22,449,547,,,,,,,,,,,,,,,,
2.32,22,580,662,,,,,,,,,,,,,,,,
2.33,23,702,771,,,,,,,,,,,,,,,,
2.34,24,822,871,,,,,,,,,,,,,,,,
2.35,24,930,960,,,,,,,,,,,,,,,,
2.36,25,1026,1038,,,,,,,,,,,,,,,,
2.37,26,1104,1103,,,,,,,,,,,,,,,,
2.38,28,1169,1154,,,,,,,,,,,,,,,,
2.39,29,1218,1194,,,,,,,,,,,,,,,,
2.4,29,1262,1222,,,,,,,,,,,,,,,,
2.41,29,1303,1252,,,,,,,,,,,,,,,,
2.42,28,1355,1289,,,,,,,,,,,,,,,,
2.43,27,1412,1336,,,,,,,,,,,,,,,,
2.44,24,1475,1390,,,,,,,,,,,,,,,,
2.45,22,1536,1448,,,,,,,,,,,,,,,,
2.46,23,1585,1499,,,,,,,,,,,,,,,,
2.47,24,1600,1524,,,,,,,,,,,,,,,,
2.48,22,1569,1505,,,,,,,,,,,,,,,,
2.49,22,1483,1437,,,,,,,,,,,,,,,,
2.5,23,1336,1312,,,,,,,,,,,,,,,,
2.51,25,1130,1124,,,,,,,,,,,,,,,,
2.52,28,862,877,,,,,,,,,,,,,,,,
2.53,31,535,572,,,,,,,,,,,,,,,,
2.54,33,156,218,,,,,,,,,,,,,,,,
2.55,34,-258,-174,,,,,,,,,,,,,,,,
2.56,36,-699,-590,,,,,,,,,,,,,,,,
2.57,37,-1140,-1007,,,,,,,,,,,,,,,,
2.58,39,-1564,-1412,,,,,,,,,,,,,,,,
2.59,42,-1953,-1786,,,,,,,,,,,,,,,,
2.6,43,-2299,-2121,,,,,,,,,,,,,,,,
2.61,44,-2589,-2404,,,,,,,,,,,,,,,,
2.62,44,-2814,-2624,,,,,,,,,,,,,,,,
2.63,44,-2968,-2774,,,,,,,,,,,,,,,,
2.64,42,-3045,-2853,,,,,,,,,,,,,,,,
2.65,41,-3061,-2866,,,,,,,,,,,,,,,,
2.66,40,-3020,-2815,,,,,,,,,,,,,,,,
2.67,39,-2932,-2717,,,,,,,,,,,,,,,,
2.68,38,-2808,-2584,,,,,,,,,,,,,,,,
2.69,35,-2663,-2427,,,,,,,,,,,,,,,,
2.7,33,-2502,-2252,,,,,,,,,,,,,,,,
2.71,33,-2323,-2060,,,,,,,,,,,,,,,,
2.72,33,-2121,-1850,,,,,,,,,,,,,,,,
2.73,32,-1903,-1630,,,,,,,,,,,,,,,,
2.74,30,-1663,-1395,,,,,,,,,,,,,,,,
2.75,28,-1412,-1150,,,,,,,,,,,,,,,,
2.76,26,-1150,-904,,,,,,,,,,,,,,,,
2.77,24,-887,-659,,,,,,,,,,,,,,,,
2.78,21,-625,-418,,,,,,,,,,,,,,,,
2.79,16,-372,-189,,,,,,,,,,,,,,,,
2.8,11,-134,17,,,,,,,,,,,,,,,,
2.81,8,86,202,,,,,,,,,,,,,,,,
2.82,3,280,361,,,,,,,,,,,,,,,,
2.83,0,448,492,,,,,,,,,,,,,,,,
2.84,-3,584,597,,,,,,,,,,,,,,,,
2.85,-8,690,674,,,,,,,,,,,,,,,,
2.86,-13,771,731,,,,,,,,,,,,,,,,
2.87,-16,832,772,,,,,,,,,,,,,,,,
2.88,-18,878,801,,,,,,,,,,,,,,,,
2.89,-20,913,824,,,,,,,,,,,,,,,,
2.9,-21,943,842,,,,,,,,,,,,,,,,
2.91,-21,969,861,,,,,,,,,,,,,,,,
2.92,-22,1001,882,,,,,,,,,,,,,,,,
2.93,-23,1038,908,,,,,,,,,,,,,,,,
2.94,-26,1076,933,,,,,,,,,,,,,,,,
2.95,-28,1112,958,,,,,,,,,,,,,,,,
2.96,-30,1148,988,,,,,,,,,,,,,,,,
2.97,-31,1185,1014,,,,,,,,,,,,,,,,
2.98,-33,1224,1038,,,,,,,,,,,,,,,,
2.99,-36,1260,1059,,,,,,,,,,,,,,,,
3.0,-37,1291,1079,,,,,,,,,,,,,,,,
3.01,-39,1320,1096,,,,,,,,,,,,,,,,
3.02,-40,1345,1109,,,,,,,,,,,,,,,,
3.03,-41,1366,1118,,,,,,,,,,,,,,,,
3.04,-41,1382,1123,,,,,,,,,,,,,,,,
3.05,-42,1389,1124,,,,,,,,,,,,,,,,
3.06,-42,1397,1124,,,,,,,,,,,,,,,,
3.07,-44,1403,1126,,,,,,,,,,,,,,,,
3.08,-43,1418,1134,,,,,,,,,,,,,,,,
3.09,-42,1438,1148,,,,,,,,,,,,,,,,
3.1,-41,1473,1173,,,,,,,,,,,,,,,,
3.11,-40,1520,1211,,,,,,,,,,,,,,,,
3.12,-41,1569,1256,,,,,,,,,,,,,,,,
3.13,-40,1613,1295,,,,,,,,,,,,,,,,
3.14,-38,1635,1319,,,,,,,,,,,,,,,,
3.15,-37,1624,1315,,,,,,,,,,,,,,,,
3.16,-36,1575,1278,,,,,,,,,,,,,,,,
3.17,-36,1483,1199,,,,,,,,,,,,,,,,
3.18,-34,1343,1077,,,,,,,,,,,,,,,,
3.19,-35,1156,912,,,,,,,,,,,,,,,,
3.2,-33,927,710,,,,,,,,,,,,,,,,
3.21,-32,662,478,,,,,,,,,,,,,,,,
