TIMESTAMP [s],PPG1_SUB1,PPG1_SUB2,PPG1_SUB3,SPO2: SIGNAL_QUALITY,SPO2: SPO2 [%],SPO2: HEART_RATE [bpm],SPO2: PI [%],SPO2: R,SPO2: AC_RED,SPO2: DC_RED,SPO2: AC_IR,SPO2: DC_IR,AGC1_CHANNEL,AGC1_PD_OFFSET_CHANGE,AGC1_PD_OFFSET_CURRENT,AGC1_LED_CHANGE,AGC1_LED_CURRENT,AGC2_CHANNEL,AGC2_PD_OFFSET_CHANGE,AGC2_PD_OFFSET_CURRENT,AGC2_LED_CHANGE,AGC2_LED_CURRENT
0.0,345961,0,0,,,,,,,,,,2,0,128,0,32,3,0,128,0,20
0.01,345991,0,0,,,,,,,,,,,,,,,,,,,
0.02,345964,0,0,,,,,,,,,,,,,,,,,,,
0.03,345993,0,0,,,,,,,,,,,,,,,,,,,
0.04,345963,0,1,,,,,,,,,,,,,,,,,,,
0.05,346013,0,0,,,,,,,,,,,,,,,,,,,
0.06,345984,0,0,,,,,,,,,,,,,,,,,,,
0.07,346005,0,0,,,,,,,,,,,,,,,,,,,
0.08,345989,0,0,,,,,,,,,,,,,,,,,,,
0.09,346020,0,0,,,,,,,,,,,,,,,,,,,
0.1,345983,0,0,,,,,,,,,,,,,,,,,,,
0.11,346022,0,0,,,,,,,,,,,,,,,,,,,
0.12,345984,0,0,,,,,,,,,,,,,,,,,,,
0.13,346030,0,0,,,,,,,,,,,,,,,,,,,
0.14,345998,0,0,,,,,,,,,,,,,,,,,,,
0.15,346026,0,0,,,,,,,,,,,,,,,,,,,
0.16,346009,0,0,,,,,,,,,,,,,,,,,,,
0.17,346008,0,0,,,,,,,,,,,,,,,,,,,
0.18,346005,0,0,,,,,,,,,,,,,,,,,,,
0.19,346028,0,0,,,,,,,,,,,,,,,,,,,
0.2,346025,0,0,,,,,,,,,,,,,,,,,,,
0.21,346020,0,0,,,,,,,,,,,,,,,,,,,
0.22,346004,0,0,,,,,,,,,,,,,,,,,,,
0.23,346035,0,0,,,,,,,,,,,,,,,,,,,
0.24,346017,0,0,,,,,,,,,,2,2,96,0,32,3,2,96,0,20
0.25,346012,0,0,,,,,,,,,,,,,,,,,,,
0.26,346013,0,0,,,,,,,,,,,,,,,,,,,
0.27,346009,0,0,,,,,,,,,,,,,,,,,,,
0.28,346027,0,0,,,,,,,,,,,,,,,,,,,
0.29,346009,0,0,,,,,,,,,,,,,,,,,,,
0.3,346039,0,0,,,,,,,,,,,,,,,,,,,
0.31,346027,0,0,,,,,,,,,,,,,,,,,,,
0.32,346027,0,0,,,,,,,,,,,,,,,,,,,
0.33,346024,0,0,,,,,,,,,,,,,,,,,,,
0.34,346019,0,0,,,,,,,,,,,,,,,,,,,
0.35,346034,0,0,,,,,,,,,,,,,,,,,,,
0.36,346016,0,0,,,,,,,,,,,,,,,,,,,
0.37,346032,0,0,,,,,,,,,,,,,,,,,,,
0.38,346026,0,0,,,,,,,,,,,,,,,,,,,
0.39,346018,0,0,,,,,,,,,,,,,,,,,,,
0.4,346024,0,0,,,,,,,,,,,,,,,,,,,
0.41,346028,0,0,,,,,,,,,,,,,,,,,,,
0.42,346032,0,0,,,,,,,,,,2,2,64,0,32,3,2,64,0,20
0.43,346031,0,0,,,,,,,,,,,,,,,,,,,
0.44,346028,0,0,,,,,,,,,,,,,,,,,,,
0.45,346035,0,0,,,,,,,,,,,,,,,,,,,
0.46,346037,0,0,,,,,,,,,,,,,,,,,,,
0.47,346039,0,0,,,,,,,,,,,,,,,,,,,
0.48,346036,0,0,,,,,,,,,,,,,,,,,,,
0.49,346046,0,0,,,,,,,,,,,,,,,,,,,
0.5,346034,0,0,,,,,,,,,,,,,,,,,,,
0.51,346047,0,0,,,,,,,,,,,,,,,,,,,
0.52,346027,0,0,,,,,,,,,,,,,,,,,,,
0.53,346026,0,0,,,,,,,,,,,,,,,,,,,
0.54,346005,0,0,,,,,,,,,,,,,,,,,,,
0.55,346002,0,0,,,,,,,,,,,,,,,,,,,
0.56,345999,0,0,,,,,,,,,,,,,,,,,,,
0.57,345992,0,0,,,,,,,,,,,,,,,,,,,
0.58,345981,0,0,,,,,,,,,,,,,,,,,,,
0.59,345986,0,0,,,,,,,,,,,,,,,,,,,
0.6,345969,0,0,,,,,,,,,,,,,,,,,,,
0.61,345971,0,0,,,,,,,,,,,,,,,,,,,
0.62,345969,0,0,,,,,,,,,,,,,,,,,,,
0.63,345957,0,0,,,,,,,,,,,,,,,,,,,
0.64,345947,0,0,,,,,,,,,,,,,,,,,,,
0.65,345956,0,0,,,,,,,,,,,,,,,,,,,
0.66,345942,206150,74320,,,,,,,,,,2,2,32,0,32,3,2,32,0,20
0.67,345955,206184,74346,,,,,,,,,,,,,,,,,,,
0.68,345937,206229,74459,,,,,,,,,,,,,,,,,,,
0.69,345936,206402,74625,,,,,,,,,,,,,,,,,,,
0.7,345930,206501,74771,,,,,,,,,,,,,,,,,,,
0.71,345937,206843,75045,,,,,,,,,,,,,,,,,,,
0.72,345923,207227,75434,,,,,,,,,,,,,,,,,,,
0.73,345939,207782,75988,,,,,,,,,,,,,,,,,,,
0.74,345933,208371,76759,,,,,,,,,,,,,,,,,,,
0.75,345925,752827,621051,,,,,,,,,,2,2,0,0,32,3,2,0,0,20
0.76,345926,753510,621731,,,,,,,,,,,,,,,,,,,
0.77,345935,754218,622408,,,,,,,,,,,,,,,,,,,
0.78,345919,754862,622981,,,,,,,,,,,,,,,,,,,
0.79,345932,755403,623515,,,,,,,,,,,,,,,,,,,
0.8,345938,755871,623948,,,,,,,,,,,,,,,,,,,
0.81,345945,756268,624372,,,,,,,,,,,,,,,,,,,
0.82,345944,756600,624691,,,,,,,,,,,,,,,,,,,
0.83,345942,756861,624933,,,,,,,,,,,,,,,,,,,
0.84,345954,757013,625131,,,,,,,,,,,,,,,,,,,
0.85,345957,757161,625260,,,,,,,,,,,,,,,,,,,
0.86,345933,757247,625368,,,,,,,,,,,,,,,,,,,
0.87,345941,757307,625417,,,,,,,,,,,,,,,,,,,
0.88,345930,757303,625466,,,,,,,,,,,,,,,,,,,
0.89,345964,757361,625562,,,,,,,,,,,,,,,,,,,
0.9,345938,757389,625578,,,,,,,,,,,,,,,,,,,
0.91,345956,757454,625729,,,,,,,,,,,,,,,,,,,
0.92,345933,757579,625883,,,,,,,,,,,,,,,,,,,
0.93,345951,757707,626007,,,,,,,,,,,,,,,,,,,
0.94,345935,757815,626153,,,,,,,,,,,,,,,,,,,
0.95,345959,757995,626339,,,,,,,,,,,,,,,,,,,
0.96,345945,758189,626566,,,,,,,,,,,,,,,,,,,
0.97,345950,758422,626803,,,,,,,,,,,,,,,,,,,
0.98,345941,758613,627045,,,,,,,,,,,,,,,,,,,
0.99,345957,758878,627319,,,,,,,,,,,,,,,,,,,
1.0,345953,759138,627625,,,,,,,,,,,,,,,,,,,
1.01,345957,759371,627928,,,,,,,,,,,,,,,,,,,
1.02,345968,759634,628186,,,,,,,,,,,,,,,,,,,
1.03,345967,759856,628481,,,,,,,,,,,,,,,,,,,
1.04,345958,760121,628770,,,,,,,,,,,,,,,,,,,
1.05,345976,760362,629034,,,,,,,,,,,,,,,,,,,
1.06,345971,760578,629286,,,,,,,,,,,,,,,,,,,
1.07,345991,760791,629544,,,,,,,,,,,,,,,,,,,
1.08,345968,760922,629708,0,100.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,
1.09,345971,761098,629904,,,,,,,,,,,,,,,,,,,
1.1,345961,761239,630070,,,,,,,,,,,,,,,,,,,
1.11,345983,761451,630303,,,,,,,,,,,,,,,,,,,
1.12,345972,761637,630514,,,,,,,,,,,,,,,,,,,
1.13,345978,761846,630746,,,,,,,,,,,,,,,,,,,
1.14,345973,762035,630939,,,,,,,,,,,,,,,,,,,
1.15,345976,762141,631103,,,,,,,,,,,,,,,,,,,
1.16,345979,762280,631257,,,,,,,,,,,,,,,,,,,
1.17,345970,762409,631391,,,,,,,,,,,,,,,,,,,
1.18,345959,762467,631519,,,,,,,,,,,,,,,,,,,
1.19,345980,762600,631623,,,,,,,,,,,,,,,,,,,
1.2,345977,762688,631731,,,,,,,,,,,,,,,,,,,
1.21,345987,762795,631883,,,,,,,,,,,,,,,,,,,
1.22,345983,762891,632032,,,,,,,,,,,,,,,,,,,
1.23,345998,763041,632179,,,,,,,,,,,,,,,,,,,
1.24,345976,763158,632346,,,,,,,,,,,,,,,,,,,
1.25,345987,763335,632551,,,,,,,,,,,,,,,,,,,
1.26,345974,763492,632714,,,,,,,,,,,,,,,,,,,
1.27,345997,763644,632906,,,,,,,,,,,,,,,,,,,
1.28,345976,763738,633029,,,,,,,,,,,,,,,,,,,
1.29,345992,763696,633006,,,,,,,,,,,,,,,,,,,
1.3,345990,763401,632707,,,,,,,,,,,,,,,,,,,
1.31,345976,762632,632003,,,,,,,,,,,,,,,,,,,
1.32,345976,761310,630709,,,,,,,,,,,,,,,,,,,
1.33,345975,759381,628910,,,,,,,,,,,,,,,,,,,
1.34,345968,757216,626845,,,,,,,,,,,,,,,,,,,
1.35,345961,754854,624580,,,,,,,,,,,,,,,,,,,
1.36,345940,752623,622440,,,,,,,,,,,,,,,,,,,
1.37,345957,750805,620667,,,,,,,,,,,,,,,,,,,
1.38,345919,749412,619336,,,,,,,,,,,,,,,,,,,
1.39,345934,748478,618487,,,,,,,,,,,,,,,,,,,
1.4,345927,747853,617863,,,,,,,,,,,,,,,,,,,
1.41,345929,747410,617492,,,,,,,,,,,,,,,,,,,
1.42,345919,747134,617274,,,,,,,,,,,,,,,,,,,
1.43,345918,747065,617167,,,,,,,,,,,,,,,,,,,
1.44,345923,747066,617219,,,,,,,,,,,,,,,,,,,
1.45,345913,747182,617348,,,,,,,,,,,,,,,,,,,
1.46,345901,747313,617528,,,,,,,,,,,,,,,,,,,
1.47,345916,747573,617777,,,,,,,,,,,,,,,,,,,
1.48,345907,747885,618106,,,,,,,,,,,,,,,,,,,
1.49,345939,748270,618499,,,,,,,,,,,,,,,,,,,
1.5,345910,748723,619000,,,,,,,,,,,,,,,,,,,
1.51,345927,749365,619592,,,,,,,,,,,,,,,,,,,
1.52,345911,750001,620227,,,,,,,,,,,,,,,,,,,
1.53,345928,750761,620965,,,,,,,,,,,,,,,,,,,
1.54,345909,751479,621674,,,,,,,,,,,,,,,,,,,
1.55,345924,752245,622439,,,,,,,,,,,,,,,,,,,
1.56,345919,752927,623080,,,,,,,,,,,,,,,,,,,
1.57,345931,753534,623689,,,,,,,,,,,,,,,,,,,
1.58,345911,754099,624254,,,,,,,,,,,,,,,,,,,
1.59,345921,754577,624751,,,,,,,,,,,,,,,,,,,
1.6,345929,755032,625183,,,,,,,,,,,,,,,,,,,
1.61,345921,755385,625541,,,,,,,,,,,,,,,,,,,
1.62,345929,755637,625831,,,,,,,,,,,,,,,,,,,
1.63,345927,755794,626003,,,,,,,,,,,,,,,,,,,
1.64,345914,755920,626141,,,,,,,,,,,,,,,,,,,
1.65,345922,755993,626205,,,,,,,,,,,,,,,,,,,
1.66,345925,756036,626278,,,,,,,,,,,,,,,,,,,
1.67,345907,756090,626351,,,,,,,,,,,,,,,,,,,
1.68,345905,756160,626434,,,,,,,,,,,,,,,,,,,
1.69,345919,756240,626544,,,,,,,,,,,,,,,,,,,
1.7,345919,756321,626657,,,,,,,,,,,,,,,,,,,
1.71,345917,756376,626738,,,,,,,,,,,,,,,,,,,
1.72,345926,756435,626830,,,,,,,,,,,,,,,,,,,
1.73,345915,756563,626960,,,,,,,,,,,,,,,,,,,
1.74,345937,756711,627137,,,,,,,,,,,,,,,,,,,
1.75,345933,756896,627371,,,,,,,,,,,,,,,,,,,
1.76,345919,757078,627568,,,,,,,,,,,,,,,,,,,
1.77,345921,757249,627778,,,,,,,,,,,,,,,,,,,
1.78,345946,757439,627984,,,,,,,,,,,,,,,,,,,
1.79,345931,757625,628227,,,,,,,,,,,,,,,,,,,
1.8,345937,757867,628449,,,,,,,,,,,,,,,,,,,
1.81,345943,758057,628703,,,,,,,,,,,,,,,,,,,
1.82,345953,758236,628943,,,,,,,,,,,,,,,,,,,
1.83,345946,758477,629215,,,,,,,,,,,,,,,,,,,
1.84,345950,758720,629489,,,,,,,,,,,,,,,,,,,
1.85,345955,758967,629745,,,,,,,,,,,,,,,,,,,
1.86,345942,759183,629992,,,,,,,,,,,,,,,,,,,
1.87,345952,759417,630217,,,,,,,,,,,,,,,,,,,
1.88,345954,759603,630418,,,,,,,,,,,,,,,,,,,
1.89,345947,759798,630674,,,,,,,,,,,,,,,,,,,
1.9,345967,760043,630891,,,,,,,,,,,,,,,,,,,
1.91,345959,760262,631125,,,,,,,,,,,,,,,,,,,
1.92,345967,760435,631344,,,,,,,,,,,,,,,,,,,
1.93,345957,760617,631563,,,,,,,,,,,,,,,,,,,
1.94,345958,760793,631759,,,,,,,,,,,,,,,,,,,
1.95,345954,760915,631941,,,,,,,,,,,,,,,,,,,
1.96,345979,761064,632071,,,,,,,,,,,,,,,,,,,
1.97,345966,761122,632235,,,,,,,,,,,,,,,,,,,
1.98,345979,761222,632274,,,,,,,,,,,,,,,,,,,
1.99,345957,761269,632406,,,,,,,,,,,,,,,,,,,
2.0,345982,761383,632491,,,,,,,,,,,,,,,,,,,
2.01,345964,761467,632635,,,,,,,,,,,,,,,,,,,
2.02,345969,761589,632778,,,,,,,,,,,,,,,,,,,
2.03,345953,761716,632948,,,,,,,,,,,,,,,,,,,
2.04,345987,761855,633102,,,,,,,,,,,,,,,,,,,
2.05,345965,761943,633219,0,100.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,
2.06,345958,762059,633321,,,,,,,,,,,,,,,,,,,
2.07,345968,762133,633381,,,,,,,,,,,,,,,,,,,
2.08,345971,762096,633338,,,,,,,,,,,,,,,,,,,
2.09,345945,761835,633135,,,,,,,,,,,,,,,,,,,
2.1,345964,761259,632576,,,,,,,,,,,,,,,,,,,
2.11,345963,760035,631346,,,,,,,,,,,,,,,,,,,
2.12,345952,757983,629408,,,,,,,,,,,,,,,,,,,
2.13,345960,755713,627245,,,,,,,,,,,,,,,,,,,
2.14,345949,753439,625106,,,,,,,,,,,,,,,,,,,
2.15,345927,751141,622861,,,,,,,,,,,,,,,,,,,
2.16,345927,749357,621118,,,,,,,,,,,,,,,,,,,
2.17,345919,747986,619844,,,,,,,,,,,,,,,,,,,
2.18,345919,747084,618996,,,,,,,,,,,,,,,,,,,
2.19,345908,746525,618482,,,,,,,,,,,,,,,,,,,
2.2,345907,746279,618242,,,,,,,,,,,,,,,,,,,
2.21,345901,746155,618146,,,,,,,,,,,,,,,,,,,
2.22,345912,746215,618227,,,,,,,,,,,,,,,,,,,
2.23,345906,746279,618337,,,,,,,,,,,,,,,,,,,
2.24,345913,746466,618520,,,,,,,,,,,,,,,,,,,
2.25,345922,746699,618809,,,,,,,,,,,,,,,,,,,
2.26,345918,746982,619131,,,,,,,,,,,,,,,,,,,
2.27,345925,747353,619537,,,,,,,,,,,,,,,,,,,
2.28,345928,747800,619993,,,,,,,,,,,,,,,,,,,
2.29,345923,748264,620501,,,,,,,,,,,,,,,,,,,
2.3,345920,748819,621061,,,,,,,,,,,,,,,,,,,
2.31,345915,749351,621632,,,,,,,,,,,,,,,,,,,
2.32,345913,749935,622193,,,,,,,,,,,,,,,,,,,
2.33,345923,750500,622788,,,,,,,,,,,,,,,,,,,
2.34,345909,751057,623303,,,,,,,,,,,,,,,,,,,
2.35,345918,751546,623814,,,,,,,,,,,,,,,,,,,
2.36,345918,751931,624251,,,,,,,,,,,,,,,,,,,
2.37,345924,752286,624570,,,,,,,,,,,,,,,,,,,
2.38,345929,752507,624846,,,,,,,,,,,,,,,,,,,
2.39,345936,752699,625042,,,,,,,,,,,,,,,,,,,
2.4,345934,752835,625192,,,,,,,,,,,,,,,,,,,
2.41,345932,752961,625310,,,,,,,,,,,,,,,,,,,
2.42,345934,752967,625353,,,,,,,,,,,,,,,,,,,
2.43,345933,752968,625391,,,,,,,,,,,,,,,,,,,
2.44,345932,752925,625340,,,,,,,,,,,,,,,,,,,
2.45,345936,752936,625389,,,,,,,,,,,,,,,,,,,
2.46,345935,752963,625433,,,,,,,,,,,,,,,,,,,
2.47,345938,753029,625499,,,,,,,,,,,,,,,,,,,
2.48,345931,753129,625611,,,,,,,,,,,,,,,,,,,
2.49,345940,753286,625809,,,,,,,,,,,,,,,,,,,
2.5,345922,753544,626024,,,,,,,,,,,,,,,,,,,
2.51,345936,753748,626314,,,,,,,,,,,,,,,,,,,
2.52,345936,753982,626521,,,,,,,,,,,,,,,,,,,
