TIMESTAMP [s],PPG1_SUB1,PPG1_SUB2,PPG1_SUB3,PPG1_SUB4,PPG1_SUB5,PPG1_SUB6,PPG1_SUB7,PPG1_SUB8,PPG2_SUB1,PPG2_SUB2,PPG2_SUB3,PPG2_SUB4,PPG2_SUB5,PPG2_SUB6,PPG2_SUB7,PPG2_SUB8,ECG_SEQ1_SUB1,ECG_SEQ1_SUB2,ECG_SEQ2_SUB1
0.995,-1,-2,-4,,,,,,,,,,,,,,,,
1.0,-2,-2,-4,,,,,,,,,,,,,,,,
1.005,-2,-3,-4,,,,,,,,,,,,,,,,
1.01,-3,-3,-4,,,,,,,,,,,,,,,,
1.015,-3,-3,-5,,,,,,,,,,,,,,,,
1.02,-3,-3,-5,,,,,,,,,,,,,,,,
1.025,-4,-3,-5,,,,,,,,,,,,,,,,
1.03,-4,-4,-6,,,,,,,,,,,,,,,,
1.035,-4,-4,-6,,,,,,,,,,,,,,,,
1.04,-4,-4,-6,,,,,,,,,,,,,,,,
1.045,-4,-4,-6,,,,,,,,,,,,,,,,
1.05,-4,-5,-7,,,,,,,,,,,,,,,,
1.055,-5,-5,-7,,,,,,,,,,,,,,,,
1.06,-4,-5,-7,,,,,,,,,,,,,,,,
1.065,-4,-6,-8,,,,,,,,,,,,,,,,
1.07,-3,-6,-8,,,,,,,,,,,,,,,,
1.075,-3,-6,-8,,,,,,,,,,,,,,,,
1.08,-3,-6,-9,,,,,,,,,,,,,,,,
1.085,-3,-7,-9,,,,,,,,,,,,,,,,
1.09,-3,-7,-9,,,,,,,,,,,,,,,,
1.095,-3,-7,-10,,,,,,,,,,,,,,,,
1.1,-3,-8,-10,,,,,,,,,,,,,,,,
1.105,-3,-8,-10,,,,,,,,,,,,,,,,
1.11,-2,-8,-11,,,,,,,,,,,,,,,,
1.115,-3,-9,-11,,,,,,,,,,,,,,,,
1.12,-2,-9,-11,,,,,,,,,,,,,,,,
1.125,-2,-10,-12,,,,,,,,,,,,,,,,
1.13,-3,-10,-12,,,,,,,,,,,,,,,,
1.135,-3,-10,-12,,,,,,,,,,,,,,,,
1.14,-3,-11,-13,,,,,,,,,,,,,,,,
1.145,-3,-11,-13,,,,,,,,,,,,,,,,
1.15,-4,-12,-13,,,,,,,,,,,,,,,,
1.155,-4,-12,-14,,,,,,,,,,,,,,,,
1.16,-4,-13,-14,,,,,,,,,,,,,,,,
1.165,-4,-13,-14,,,,,,,,,,,,,,,,
1.17,-5,-14,-15,,,,,,,,,,,,,,,,
1.175,-5,-14,-15,,,,,,,,,,,,,,,,
1.18,-5,-15,-15,,,,,,,,,,,,,,,,
1.185,-5,-15,-16,,,,,,,,,,,,,,,,
1.19,-4,-16,-16,,,,,,,,,,,,,,,,
1.195,-4,-16,-16,,,,,,,,,,,,,,,,
1.2,-3,-17,-17,,,,,,,,,,,,,,,,
1.205,-2,-18,-17,,,,,,,,,,,,,,,,
1.21,-2,-18,-17,,,,,,,,,,,,,,,,
1.215,-2,-19,-18,,,,,,,,,,,,,,,,
1.22,-2,-19,-18,,,,,,,,,,,,,,,,
1.225,-1,-20,-18,,,,,,,,,,,,,,,,
1.23,0,-21,-19,,,,,,,,,,,,,,,,
1.235,0,-22,-19,,,,,,,,,,,,,,,,
1.24,0,-22,-19,,,,,,,,,,,,,,,,
1.245,0,-23,-20,,,,,,,,,,,,,,,,
1.25,1,-24,-20,,,,,,,,,,,,,,,,
1.255,1,-25,-21,,,,,,,,,,,,,,,,
1.26,1,-25,-21,,,,,,,,,,,,,,,,
1.265,2,-26,-21,,,,,,,,,,,,,,,,
1.27,2,-27,-22,,,,,,,,,,,,,,,,
1.275,3,-28,-22,,,,,,,,,,,,,,,,
1.28,3,-29,-22,,,,,,,,,,,,,,,,
1.285,3,-30,-23,,,,,,,,,,,,,,,,
1.29,3,-31,-23,,,,,,,,,,,,,,,,
1.295,3,-31,-24,,,,,,,,,,,,,,,,
1.3,3,-32,-24,,,,,,,,,,,,,,,,
1.305,3,-33,-24,,,,,,,,,,,,,,,,
1.31,3,-34,-25,,,,,,,,,,,,,,,,
1.315,2,-36,-25,,,,,,,,,,,,,,,,
1.32,2,-37,-26,,,,,,,,,,,,,,,,
1.325,1,-38,-26,,,,,,,,,,,,,,,,
1.33,0,-39,-27,,,,,,,,,,,,,,,,
1.335,0,-40,-27,,,,,,,,,,,,,,,,
1.34,0,-41,-28,,,,,,,,,,,,,,,,
1.345,0,-42,-28,,,,,,,,,,,,,,,,
1.35,0,-44,-29,,,,,,,,,,,,,,,,
1.355,0,-45,-29,,,,,,,,,,,,,,,,
1.36,0,-46,-30,,,,,,,,,,,,,,,,
1.365,0,-48,-31,,,,,,,,,,,,,,,,
1.37,0,-49,-31,,,,,,,,,,,,,,,,
1.375,0,-50,-32,,,,,,,,,,,,,,,,
1.38,0,-52,-32,,,,,,,,,,,,,,,,
1.385,-1,-53,-33,,,,,,,,,,,,,,,,
1.39,-1,-55,-34,,,,,,,,,,,,,,,,
1.395,-1,-56,-34,,,,,,,,,,,,,,,,
1.4,-1,-58,-35,,,,,,,,,,,,,,,,
1.405,-1,-59,-36,,,,,,,,,,,,,,,,
1.41,-1,-61,-37,,,,,,,,,,,,,,,,
1.415,-1,-63,-38,,,,,,,,,,,,,,,,
1.42,-1,-65,-38,,,,,,,,,,,,,,,,
1.425,-2,-66,-39,,,,,,,,,,,,,,,,
1.43,-2,-68,-40,,,,,,,,,,,,,,,,
1.435,-2,-70,-41,,,,,,,,,,,,,,,,
1.44,-2,-72,-42,,,,,,,,,,,,,,,,
1.445,-2,-74,-43,,,,,,,,,,,,,,,,
1.45,-1,-76,-44,,,,,,,,,,,,,,,,
1.455,-1,-78,-45,,,,,,,,,,,,,,,,
1.46,-1,-80,-46,,,,,,,,,,,,,,,,
1.465,-1,-82,-47,,,,,,,,,,,,,,,,
1.47,-1,-84,-48,,,,,,,,,,,,,,,,
1.475,-1,-86,-49,,,,,,,,,,,,,,,,
1.48,-1,-90,-50,,,,,,,,,,,,,,,,
1.485,-1,-92,-51,,,,,,,,,,,,,,,,
1.49,0,-94,-52,,,,,,,,,,,,,,,,
1.495,0,-95,-53,,,,,,,,,,,,,,,,
1.5,0,-97,-54,,,,,,,,,,,,,,,,
1.505,0,-99,-56,,,,,,,,,,,,,,,,
1.51,0,-100,-58,,,,,,,,,,,,,,,,
1.515,0,-103,-59,,,,,,,,,,,,,,,,
1.52,0,-105,-61,,,,,,,,,,,,,,,,
1.525,1,-108,-63,,,,,,,,,,,,,,,,
1.53,1,-112,-65,,,,,,,,,,,,,,,,
1.535,1,-115,-67,,,,,,,,,,,,,,,,
1.54,1,-119,-70,,,,,,,,,,,,,,,,
1.545,1,-122,-73,,,,,,,,,,,,,,,,
1.55,2,-126,-75,,,,,,,,,,,,,,,,
1.555,1,-129,-78,,,,,,,,,,,,,,,,
1.56,1,-132,-79,,,,,,,,,,,,,,,,
1.565,1,-135,-81,,,,,,,,,,,,,,,,
1.57,2,-138,-82,,,,,,,,,,,,,,,,
1.575,2,-142,-84,,,,,,,,,,,,,,,,
1.58,2,-145,-84,,,,,,,,,,,,,,,,
1.585,1,-148,-85,,,,,,,,,,,,,,,,
1.59,1,-152,-84,,,,,,,,,,,,,,,,
1.595,1,-156,-84,,,,,,,,,,,,,,,,
1.6,1,-159,-84,,,,,,,,,,,,,,,,
1.605,1,-162,-84,,,,,,,,,,,,,,,,
1.61,0,-165,-83,,,,,,,,,,,,,,,,
1.615,0,-167,-80,,,,,,,,,,,,,,,,
1.62,0,-169,-79,,,,,,,,,,,,,,,,
1.625,0,-171,-76,,,,,,,,,,,,,,,,
1.63,0,-173,-74,,,,,,,,,,,,,,,,
1.635,0,-175,-72,,,,,,,,,,,,,,,,
1.64,0,-177,-70,,,,,,,,,,,,,,,,
1.645,0,-179,-69,,,,,,,,,,,,,,,,
1.65,0,-179,-66,,,,,,,,,,,,,,,,
1.655,0,-180,-64,,,,,,,,,,,,,,,,
1.66,0,-181,-63,,,,,,,,,,,,,,,,
1.665,0,-182,-61,,,,,,,,,,,,,,,,
1.67,0,-183,-61,,,,,,,,,,,,,,,,
1.675,0,-183,-60,,,,,,,,,,,,,,,,
1.68,1,-183,-60,,,,,,,,,,,,,,,,
1.685,1,-183,-59,,,,,,,,,,,,,,,,
1.69,1,-183,-59,,,,,,,,,,,,,,,,
1.695,1,-183,-58,,,,,,,,,,,,,,,,
1.7,1,-182,-57,,,,,,,,,,,,,,,,
1.705,2,-182,-56,,,,,,,,,,,,,,,,
1.71,2,-182,-53,,,,,,,,,,,,,,,,
1.715,2,-181,-52,,,,,,,,,,,,,,,,
1.72,2,-180,-51,,,,,,,,,,,,,,,,
1.725,2,-179,-50,,,,,,,,,,,,,,,,
1.73,2,-176,-48,,,,,,,,,,,,,,,,
1.735,2,-175,-46,,,,,,,,,,,,,,,,
1.74,2,-173,-45,,,,,,,,,,,,,,,,
1.745,2,-171,-41,,,,,,,,,,,,,,,,
1.75,2,-168,-35,,,,,,,,,,,,,,,,
1.755,1,-163,-27,,,,,,,,,,,,,,,,
1.76,1,-158,-16,,,,,,,,,,,,,,,,
1.765,0,-151,-1,,,,,,,,,,,,,,,,
1.77,0,-142,15,,,,,,,,,,,,,,,,
1.775,0,-132,35,,,,,,,,,,,,,,,,
1.78,0,-122,58,,,,,,,,,,,,,,,,
1.785,0,-109,83,,,,,,,,,,,,,,,,
1.79,0,-97,108,,,,,,,,,,,,,,,,
1.795,-1,-83,135,,,,,,,,,,,,,,,,
1.8,-1,-70,160,,,,,,,,,,,,,,,,
1.805,-1,-57,185,,,,,,,,,,,,,,,,
1.81,-1,-46,208,,,,,,,,,,,,,,,,
1.815,-1,-36,229,,,,,,,,,,,,,,,,
1.82,-1,-26,247,,,,,,,,,,,,,,,,
1.825,0,-20,262,,,,,,,,,,,,,,,,
1.83,-1,-15,271,,,,,,,,,,,,,,,,
1.835,-1,-10,278,,,,,,,,,,,,,,,,
1.84,-1,-9,279,,,,,,,,,,,,,,,,
1.845,-1,-9,277,,,,,,,,,,,,,,,,
1.85,0,-12,270,,,,,,,,,,,,,,,,
1.855,0,-17,257,,,,,,,,,,,,,,,,
1.86,0,-25,241,,,,,,,,,,,,,,,,
1.865,0,-35,217,,,,,,,,,,,,,,,,
1.87,0,-48,189,,,,,,,,,,,,,,,,
1.875,0,-63,155,,,,,,,,,,,,,,,,
1.88,0,-81,119,,,,,,,,,,,,,,,,
1.885,0,-100,78,,,,,,,,,,,,,,,,
1.89,0,-121,33,,,,,,,,,,,,,,,,
1.895,0,-142,-14,,,,,,,,,,,,,,,,
1.9,0,-165,-66,,,,,,,,,,,,,,,,
1.905,0,-189,-117,,,,,,,,,,,,,,,,
1.91,0,-211,-169,,,,,,,,,,,,,,,,
1.915,0,-235,-223,,,,,,,,,,,,,,,,
1.92,-1,-258,-275,,,,,,,,,,,,,,,,
1.925,-1,-280,-326,,,,,,,,,,,,,,,,
1.93,-1,-301,-377,,,,,,,,,,,,,,,,
1.935,-1,-321,-424,,,,,,,,,,,,,,,,
1.94,-1,-338,-468,,,,,,,,,,,,,,,,
1.945,-2,-354,-508,,,,,,,,,,,,,,,,
1.95,-2,-366,-542,,,,,,,,,,,,,,,,
1.955,-2,-376,-573,,,,,,,,,,,,,,,,
1.96,-2,-384,-599,,,,,,,,,,,,,,,,
1.965,-2,-387,-619,,,,,,,,,,,,,,,,
1.97,-2,-387,-634,,,,,,,,,,,,,,,,
1.975,-2,-384,-642,,,,,,,,,,,,,,,,
1.98,-2,-378,-642,,,,,,,,,,,,,,,,
1.985,-3,-370,-637,,,,,,,,,,,,,,,,
1.99,-3,-358,-627,,,,,,,,,,,,,,,,
1.995,-2,-345,-610,,,,,,,,,,,,,,,,
2.0,-2,-329,-590,,,,,,,,,,,,,,,,
2.005,-2,-313,-566,,,,,,,,,,,,,,,,
2.01,-1,-294,-539,,,,,,,,,,,,,,,,
2.015,-1,-274,-512,,,,,,,,,,,,,,,,
2.02,-1,-255,-484,,,,,,,,,,,,,,,,
2.025,0,-236,-456,,,,,,,,,,,,,,,,
2.03,0,-217,-428,,,,,,,,,,,,,,,,
2.035,0,-200,-400,,,,,,,,,,,,,,,,
2.04,0,-183,-373,,,,,,,,,,,,,,,,
2.045,0,-167,-347,,,,,,,,,,,,,,,,
2.05,0,-150,-321,,,,,,,,,,,,,,,,
2.055,-1,-134,-295,,,,,,,,,,,,,,,,
2.06,-1,-118,-269,,,,,,,,,,,,,,,,
2.065,-1,-103,-243,,,,,,,,,,,,,,,,
2.07,-1,-88,-219,,,,,,,,,,,,,,,,
2.075,-1,-73,-194,,,,,,,,,,,,,,,,
2.08,-2,-60,-171,,,,,,,,,,,,,,,,
2.085,-2,-47,-148,,,,,,,,,,,,,,,,
2.09,-2,-35,-126,,,,,,,,,,,,,,,,
2.095,-3,-23,-103,,,,,,,,,,,,,,,,
2.1,-3,-11,-84,,,,,,,,,,,,,,,,
2.105,-3,-1,-65,,,,,,,,,,,,,,,,
2.11,-3,10,-48,,,,,,,,,,,,,,,,
2.115,-3,20,-29,,,,,,,,,,,,,,,,
2.12,-3,31,-11,,,,,,,,,,,,,,,,
2.125,-3,41,6,,,,,,,,,,,,,,,,
2.13,-3,52,22,,,,,,,,,,,,,,,,
2.135,-3,63,41,,,,,,,,,,,,,,,,
2.14,-3,75,62,,,,,,,,,,,,,,,,
2.145,-2,87,82,,,,,,,,,,,,,,,,
2.15,-2,99,101,,,,,,,,,,,,,,,,
2.155,-1,111,121,,,,,,,,,,,,,,,,
